Date,Open,High,Low,Close,Adj Close,Volume
14-06-2012,6.036,6.13,5.724,5.878,5.878,4361000
15-06-2012,5.878,5.99,5.762,5.982,5.982,3234000
18-06-2012,5.988,6.466,5.9,6.368,6.368,6284000
19-06-2012,6.404,6.532,6.3,6.418,6.418,4555500
20-06-2012,6.7,6.9,6.642,6.756,6.756,17112000
21-06-2012,6.852,6.856,6.368,6.438,6.438,9459500
22-06-2012,6.52,6.796,6.492,6.758,6.758,15233000
25-06-2012,6.788,6.824,6.55,6.622,6.622,7492500
26-06-2012,6.41,6.47,6.278,6.322,6.322,13069500
27-06-2012,6.38,6.49,6.314,6.392,6.392,5236000
28-06-2012,6.38,6.422,6.124,6.282,6.282,4570500
29-06-2012,6.56,6.56,6.2,6.258,6.258,5629000
02-07-2012,6.27,6.36,6.038,6.08,6.08,6578000
03-07-2012,6.12,6.2,6.08,6.132,6.132,4735000
05-07-2012,6.162,6.334,6.16,6.246,6.246,6269000
06-07-2012,6.198,6.346,6.16,6.198,6.198,3922500
09-07-2012,6.188,6.366,6.134,6.298,6.298,4552500
10-07-2012,6.308,6.496,6.178,6.254,6.254,3792000
11-07-2012,6.314,6.336,6.202,6.302,6.302,3193000
12-07-2012,6.258,6.602,6.16,6.54,6.54,5628500
13-07-2012,6.594,6.88,6.566,6.85,6.85,6524000
16-07-2012,6.864,7.2,6.78,7.192,7.192,8720000
17-07-2012,7,7.042,6.476,6.67,6.67,12846500
18-07-2012,6.284,6.734,6.212,6.43,6.43,14409500
19-07-2012,6.544,6.63,6.408,6.454,6.454,7179500
20-07-2012,6.414,6.45,6.25,6.358,6.358,7842500
23-07-2012,6.21,6.26,6.124,6.132,6.132,6934000
24-07-2012,6.132,6.208,5.924,5.968,5.968,7501500
25-07-2012,5.984,5.996,5.75,5.79,5.79,14211000
26-07-2012,5.98,6,5.528,5.626,5.626,11311500
27-07-2012,5.742,5.932,5.62,5.902,5.902,8365000
30-07-2012,5.902,6.05,5.442,5.47,5.47,10326000
31-07-2012,5.508,5.594,5.47,5.484,5.484,7875500
01-08-2012,5.598,5.598,5.206,5.25,5.25,7961500
02-08-2012,5.368,5.37,5.104,5.22,5.22,6525500
03-08-2012,5.38,5.51,5.348,5.454,5.454,6047500
06-08-2012,5.51,5.74,5.51,5.654,5.654,7641000
07-08-2012,5.754,6.18,5.7,6.05,6.05,11936000
08-08-2012,5.98,6,5.718,5.818,5.818,6544500
09-08-2012,5.904,6,5.826,5.882,5.882,3363000
10-08-2012,5.862,5.988,5.862,5.988,5.988,3537000
13-08-2012,5.938,6.26,5.82,6.234,6.234,4350500
14-08-2012,6.15,6.234,5.852,5.884,5.884,3967000
15-08-2012,5.878,5.94,5.762,5.88,5.88,2627000
16-08-2012,5.906,6.078,5.9,6.06,6.06,3345000
17-08-2012,6.058,6.142,5.996,6.002,6.002,2541000
20-08-2012,6.03,6.078,5.82,5.902,5.902,5895500
21-08-2012,5.916,6,5.8,5.822,5.822,3808000
22-08-2012,5.802,6.008,5.802,5.99,5.99,3877500
23-08-2012,6,6.17,5.93,6.146,6.146,7355000
24-08-2012,6.012,6.048,5.882,5.9,5.9,7147000
27-08-2012,5.914,5.94,5.634,5.664,5.664,6752000
28-08-2012,5.68,5.876,5.6,5.738,5.738,7013500
29-08-2012,5.698,5.728,5.604,5.682,5.682,4194500
30-08-2012,5.72,5.748,5.62,5.682,5.682,3282000
31-08-2012,5.722,5.768,5.64,5.704,5.704,2699000
04-09-2012,5.704,5.798,5.58,5.628,5.628,3762500
05-09-2012,5.602,5.7,5.562,5.588,5.588,3196500
06-09-2012,5.6,5.78,5.58,5.71,5.71,4208500
07-09-2012,5.71,5.914,5.7,5.87,5.87,4766000
10-09-2012,5.84,5.87,5.46,5.474,5.474,7416500
11-09-2012,5.552,5.632,5.48,5.56,5.56,5074500
12-09-2012,5.58,5.716,5.56,5.656,5.656,5726000
13-09-2012,5.714,5.9,5.696,5.896,5.896,7423500
14-09-2012,6,6.13,5.93,6.078,6.078,7683000
17-09-2012,6.47,6.556,6.302,6.508,6.508,16064000
18-09-2012,6.376,6.38,6.136,6.268,6.268,8942500
19-09-2012,6.2,6.348,6.188,6.21,6.21,5242500
20-09-2012,6.186,6.3,6.136,6.18,6.18,4562000
21-09-2012,6.22,6.298,5.908,6.004,6.004,9350000
24-09-2012,5.902,6.206,5.88,6.132,6.132,6509500
25-09-2012,5.724,5.896,5.506,5.532,5.532,28402000
26-09-2012,5.532,5.68,5.496,5.508,5.508,7636000
27-09-2012,5.564,5.708,5.52,5.698,5.698,8793000
28-09-2012,5.746,5.978,5.722,5.856,5.856,21717000
01-10-2012,5.9,5.978,5.8,5.832,5.832,4422000
02-10-2012,5.856,5.978,5.8,5.96,5.96,3645000
03-10-2012,5.95,5.99,5.848,5.86,5.86,5264000
04-10-2012,6,6.02,5.73,5.88,5.88,7706500
